size,gap,z,id
10,4,37.0,chromosome_GCF_000005845.2_ASM584v2
11,2,30.0,chromosome_GCF_000006765.1_ASM676v1
12,4,42.0,chromosome_GCF_000006945.2_ASM694v2
9,12,4.0,plasmid_pSLT_GCF_000006945.2_ASM694v2
12,4,70.0,chromosome_1_GCF_008369605.1_ASM836960v1
11,4,22.0,chromosome_2_GCF_008369605.1_ASM836960v1
10,5,7.0,plasmid_unnamed_GCF_008369605.1_ASM836960v1
11,11,6.0,chromosome_GCF_017821535.1_ASM1782153v1
7,3,4.0,plasmid_pMT5135_GCF_017821535.1_ASM1782153v1
10,4,35.0,chromosome_GCF_000022005.1_ASM2200v1
