,ID,PC1,PC2,phylum,Replicons_type,Type,Explained Variance 1,Explained Variance 2
0,chromosome_GCF_002951835.1_ASM295183v1,-5.44238783521638,22.02556918909161,Proteobacteria,chromosome,chromosome,?,?
1,chromosome_GCF_014054985.1_ASM1405498v1,-7.83505419292477,16.776229273479014,Proteobacteria,chromosome,chromosome,?,?
2,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1,-6.632066500451931,-3.209440495622317,Proteobacteria,plasmid_pDSM18271,plasmid,?,?
3,chromosome_GCF_014054525.1_ASM1405452v1,-7.610627435186783,0.6821567152085517,Proteobacteria,chromosome,chromosome,?,?
4,chromosome_GCF_022354465.1_ASM2235446v1,-5.431163523216255,-1.892341045660369,Proteobacteria,chromosome,chromosome,?,?
5,chromosome_GCF_016894345.1_ASM1689434v1,-5.19285755215133,-4.3397497847122875,Proteobacteria,chromosome,chromosome,?,?
6,chromosome_GCF_022870845.1_ASM2287084v1,-5.782701752563631,-5.281275919125909,Proteobacteria,chromosome,chromosome,?,?
7,chromosome_GCF_022749515.1_ASM2274951v1,69.27378346852178,0.5686047168228131,Proteobacteria,chromosome,chromosome,?,?
8,chromosome_1_GCF_001718895.1_ASM171889v1,-3.484743061363398,-2.141024518563739,Proteobacteria,chromosome_1,chromosome,?,?
9,chromosome_2_GCF_001718895.1_ASM171889v1,-5.418922193120683,-4.364020396234949,Proteobacteria,chromosome_2,chromosome,?,?
10,chromosome_3_GCF_001718895.1_ASM171889v1,-3.9442988883434085,-7.7235850195783335,Proteobacteria,chromosome_3,chromosome,?,?
11,chromosome_GCF_000009145.1_ASM914v1,-5.896080143990076,-3.3880960285904758,Proteobacteria,chromosome,chromosome,?,?
12,chromosome_GCA_019038085.1_ASM1903808v1,-6.602880389993105,-7.7130266865136035,Proteobacteria,chromosome,chromosome,?,?
